name	probe_name	x	y	z	hemisphere	impedance	shank_id	location
e000	array	n/a	n/a	n/a	n/a	150.0	probe1	lot
e001	array	n/a	n/a	n/a	n/a	150.0	probe1	lot
e002	array	n/a	n/a	n/a	n/a	150.0	probe1	lot
e003	array	n/a	n/a	n/a	n/a	150.0	probe1	lot
e004	array	n/a	n/a	n/a	n/a	150.0	probe1	lot
e005	array	n/a	n/a	n/a	n/a	150.0	probe1	lot
e006	array	n/a	n/a	n/a	n/a	150.0	probe1	lot
e007	array	n/a	n/a	n/a	n/a	150.0	probe1	lot
e008	array	n/a	n/a	n/a	n/a	150.0	probe1	lot
e009	array	n/a	n/a	n/a	n/a	150.0	probe1	lot
e010	array	n/a	n/a	n/a	n/a	150.0	probe1	PIR
e011	array	n/a	n/a	n/a	n/a	150.0	probe1	PIR
e012	array	n/a	n/a	n/a	n/a	150.0	probe1	PIR
e013	array	n/a	n/a	n/a	n/a	150.0	probe1	PIR
e014	array	n/a	n/a	n/a	n/a	150.0	probe1	PIR
e015	array	n/a	n/a	n/a	n/a	150.0	probe1	PIR
e016	array	n/a	n/a	n/a	n/a	150.0	probe1	PIR
e017	array	n/a	n/a	n/a	n/a	150.0	probe1	PIR
e018	array	n/a	n/a	n/a	n/a	150.0	probe1	PIR
e019	array	n/a	n/a	n/a	n/a	150.0	probe1	PIR
e020	array	n/a	n/a	n/a	n/a	150.0	probe1	PIR
e021	array	n/a	n/a	n/a	n/a	150.0	probe1	PIR
e022	array	n/a	n/a	n/a	n/a	150.0	probe1	PIR
e023	array	n/a	n/a	n/a	n/a	150.0	probe1	PIR
e024	array	n/a	n/a	n/a	n/a	150.0	probe1	PIR
e025	array	n/a	n/a	n/a	n/a	150.0	probe1	PIR
e026	array	n/a	n/a	n/a	n/a	150.0	probe1	PIR
e027	array	n/a	n/a	n/a	n/a	150.0	probe1	PIR
e028	array	n/a	n/a	n/a	n/a	150.0	probe1	PIR
e029	array	n/a	n/a	n/a	n/a	150.0	probe1	PIR
e030	array	n/a	n/a	n/a	n/a	150.0	probe1	PIR
e031	array	n/a	n/a	n/a	n/a	150.0	probe1	PIR
e032	array	n/a	n/a	n/a	n/a	150.0	probe1	PIR
e033	array	n/a	n/a	n/a	n/a	150.0	probe1	PIR
e034	array	n/a	n/a	n/a	n/a	150.0	probe1	PIR
e035	array	n/a	n/a	n/a	n/a	150.0	probe1	PIR
e036	array	n/a	n/a	n/a	n/a	150.0	probe1	PIR
e037	array	n/a	n/a	n/a	n/a	150.0	probe1	PIR
e038	array	n/a	n/a	n/a	n/a	150.0	probe1	PIR
e039	array	n/a	n/a	n/a	n/a	150.0	probe1	PIR
e040	array	n/a	n/a	n/a	n/a	150.0	probe1	PIR
e041	array	n/a	n/a	n/a	n/a	150.0	probe1	PIR
e042	array	n/a	n/a	n/a	n/a	150.0	probe1	PIR
e043	array	n/a	n/a	n/a	n/a	150.0	probe1	PIR
e044	array	n/a	n/a	n/a	n/a	150.0	probe1	PIR
e045	array	n/a	n/a	n/a	n/a	150.0	probe1	PIR
e046	array	n/a	n/a	n/a	n/a	150.0	probe1	PIR
e047	array	n/a	n/a	n/a	n/a	150.0	probe1	PIR
e048	array	n/a	n/a	n/a	n/a	150.0	probe1	PIR
e049	array	n/a	n/a	n/a	n/a	150.0	probe1	PIR
e050	array	n/a	n/a	n/a	n/a	150.0	probe1	PIR
e051	array	n/a	n/a	n/a	n/a	150.0	probe1	PIR
e052	array	n/a	n/a	n/a	n/a	150.0	probe1	PIR
e053	array	n/a	n/a	n/a	n/a	150.0	probe1	PIR
e054	array	n/a	n/a	n/a	n/a	150.0	probe1	PIR
e055	array	n/a	n/a	n/a	n/a	150.0	probe1	PIR
e056	array	n/a	n/a	n/a	n/a	150.0	probe1	PIR
e057	array	n/a	n/a	n/a	n/a	150.0	probe1	PIR
e058	array	n/a	n/a	n/a	n/a	150.0	probe1	PIR
e059	array	n/a	n/a	n/a	n/a	150.0	probe1	PIR
e060	array	n/a	n/a	n/a	n/a	150.0	probe1	PIR
e061	array	n/a	n/a	n/a	n/a	150.0	probe1	PIR
e062	array	n/a	n/a	n/a	n/a	150.0	probe1	PIR
e063	array	n/a	n/a	n/a	n/a	150.0	probe1	PIR
e064	array	n/a	n/a	n/a	n/a	150.0	probe1	PIR
e065	array	n/a	n/a	n/a	n/a	150.0	probe1	PIR
e066	array	n/a	n/a	n/a	n/a	150.0	probe1	PIR
e067	array	n/a	n/a	n/a	n/a	150.0	probe1	PIR
e068	array	n/a	n/a	n/a	n/a	150.0	probe1	PIR
e069	array	n/a	n/a	n/a	n/a	150.0	probe1	PIR
e070	array	n/a	n/a	n/a	n/a	150.0	probe1	PIR
e071	array	n/a	n/a	n/a	n/a	150.0	probe1	PIR
e072	array	n/a	n/a	n/a	n/a	150.0	probe1	PIR
e073	array	n/a	n/a	n/a	n/a	150.0	probe1	PIR
e074	array	n/a	n/a	n/a	n/a	150.0	probe1	PIR
e075	array	n/a	n/a	n/a	n/a	150.0	probe1	PIR
e076	array	n/a	n/a	n/a	n/a	150.0	probe1	PIR
e077	array	n/a	n/a	n/a	n/a	150.0	probe1	PIR
e078	array	n/a	n/a	n/a	n/a	150.0	probe1	PIR
e079	array	n/a	n/a	n/a	n/a	150.0	probe1	PIR
e080	array	n/a	n/a	n/a	n/a	150.0	probe1	PIR
e081	array	n/a	n/a	n/a	n/a	150.0	probe1	PIR
e082	array	n/a	n/a	n/a	n/a	150.0	probe1	PIR
e083	array	n/a	n/a	n/a	n/a	150.0	probe1	PIR
e084	array	n/a	n/a	n/a	n/a	150.0	probe1	PIR
e085	array	n/a	n/a	n/a	n/a	150.0	probe1	PIR
e086	array	n/a	n/a	n/a	n/a	150.0	probe1	PIR
e087	array	n/a	n/a	n/a	n/a	150.0	probe1	PIR
e088	array	n/a	n/a	n/a	n/a	150.0	probe1	PIR
e089	array	n/a	n/a	n/a	n/a	150.0	probe1	PIR
e090	array	n/a	n/a	n/a	n/a	150.0	probe1	PIR
e091	array	n/a	n/a	n/a	n/a	150.0	probe1	PIR
e092	array	n/a	n/a	n/a	n/a	150.0	probe1	AIv1
e093	array	n/a	n/a	n/a	n/a	150.0	probe1	AIv1
e094	array	n/a	n/a	n/a	n/a	150.0	probe1	AIv1
e095	array	n/a	n/a	n/a	n/a	150.0	probe1	AIv1
e096	array	n/a	n/a	n/a	n/a	150.0	probe1	AIv1
e097	array	n/a	n/a	n/a	n/a	150.0	probe1	AIv1
e098	array	n/a	n/a	n/a	n/a	150.0	probe1	AIv2/3
e099	array	n/a	n/a	n/a	n/a	150.0	probe1	AIv2/3
e100	array	n/a	n/a	n/a	n/a	150.0	probe1	AIv2/3
e101	array	n/a	n/a	n/a	n/a	150.0	probe1	AIv2/3
e102	array	n/a	n/a	n/a	n/a	150.0	probe1	AIv2/3
e103	array	n/a	n/a	n/a	n/a	150.0	probe1	AIv2/3
e104	array	n/a	n/a	n/a	n/a	150.0	probe1	AIv2/3
e105	array	n/a	n/a	n/a	n/a	150.0	probe1	AIv2/3
e106	array	n/a	n/a	n/a	n/a	150.0	probe1	AIv2/3
e107	array	n/a	n/a	n/a	n/a	150.0	probe1	AIv2/3
e108	array	n/a	n/a	n/a	n/a	150.0	probe1	AIv2/3
e109	array	n/a	n/a	n/a	n/a	150.0	probe1	AIv2/3
e110	array	n/a	n/a	n/a	n/a	150.0	probe1	AIv2/3
e111	array	n/a	n/a	n/a	n/a	150.0	probe1	AIv2/3
e112	array	n/a	n/a	n/a	n/a	150.0	probe1	AIv5
e113	array	n/a	n/a	n/a	n/a	150.0	probe1	AIv5
e114	array	n/a	n/a	n/a	n/a	150.0	probe1	AIv5
e115	array	n/a	n/a	n/a	n/a	150.0	probe1	AIv5
e116	array	n/a	n/a	n/a	n/a	150.0	probe1	AIv5
e117	array	n/a	n/a	n/a	n/a	150.0	probe1	AIv5
e118	array	n/a	n/a	n/a	n/a	150.0	probe1	AIv5
e119	array	n/a	n/a	n/a	n/a	150.0	probe1	AIv5
e120	array	n/a	n/a	n/a	n/a	150.0	probe1	AIv5
e121	array	n/a	n/a	n/a	n/a	150.0	probe1	AIv5
e122	array	n/a	n/a	n/a	n/a	150.0	probe1	AIv5
e123	array	n/a	n/a	n/a	n/a	150.0	probe1	AIv5
e124	array	n/a	n/a	n/a	n/a	150.0	probe1	AIv5
e125	array	n/a	n/a	n/a	n/a	150.0	probe1	AIv5
e126	array	n/a	n/a	n/a	n/a	150.0	probe1	AIv5
e127	array	n/a	n/a	n/a	n/a	150.0	probe1	AIv5
e128	array	n/a	n/a	n/a	n/a	150.0	probe1	AIv5
e129	array	n/a	n/a	n/a	n/a	150.0	probe1	AIv5
e130	array	n/a	n/a	n/a	n/a	150.0	probe1	AIv5
e131	array	n/a	n/a	n/a	n/a	150.0	probe1	AIv5
e132	array	n/a	n/a	n/a	n/a	150.0	probe1	AIv5
e133	array	n/a	n/a	n/a	n/a	150.0	probe1	AIv5
e134	array	n/a	n/a	n/a	n/a	150.0	probe1	AIv5
e135	array	n/a	n/a	n/a	n/a	150.0	probe1	AIv5
e136	array	n/a	n/a	n/a	n/a	150.0	probe1	AIv5
e137	array	n/a	n/a	n/a	n/a	150.0	probe1	AIv5
e138	array	n/a	n/a	n/a	n/a	150.0	probe1	AIv5
e139	array	n/a	n/a	n/a	n/a	150.0	probe1	AIv5
e140	array	n/a	n/a	n/a	n/a	150.0	probe1	AIv5
e141	array	n/a	n/a	n/a	n/a	150.0	probe1	AIv5
